Team,Full Team Name,Base,Team Chief,Technical Chief,Chassis,Power Unit,First Team Entry,World Championships,Highest Race Finish,Pole Positions,Fastest Laps,Color,Logo
McLaren,McLaren Formula 1 Team,"Woking, United Kingdom",Andrea Stella,Peter Prodromou / Neil Houldey,MCL39,Mercedes,1966,10,1(x201),173,182,#f47500,"https://media.formula1.com/image/upload/c_fit,h_64/q_auto/v1740000000/common/f1/2025/mclaren/2025mclarenlogowhite.webp"
Ferrari,Scuderia Ferrari HP,"Maranello, Italy",Frédéric Vasseur,Loic Serra / Enrico Gualtieri,SF-25,Ferrari,1950,16,1(x249),254,264,#ED1131,"https://media.formula1.com/image/upload/c_fit,h_64/q_auto/v1740000000/common/f1/2025/ferrari/2025ferrarilogolight.webp"
Red Bull Racing,Oracle Red Bull Racing,"Milton Keynes, United Kingdom",Laurent Mekies,Pierre Waché,RB21,Honda RBPT,1997,6,1(x127),110,101,#063279,"https://media.formula1.com/image/upload/c_fit,h_64/q_auto/v1740000000/common/f1/2025/redbullracing/2025redbullracinglogowhite.webp"
Mercedes,Mercedes-AMG Petronas F1 Team,"Brackley, United Kingdom",Toto Wolff,James Allison,W16,Mercedes,1970,8,1(x122),135,114,#00ad91,"https://media.formula1.com/image/upload/c_fit,h_64/q_auto/v1740000000/common/f1/2025/mercedes/2025mercedeslogowhite.webp"
Aston Martin,Aston Martin Aramco F1 Team,"Silverstone, United Kingdom",Andy Cowell,Eric Blandin,AMR25,Mercedes,2018,0,1(x1),1,3,#085b3d,"https://media.formula1.com/image/upload/c_fit,h_64/q_auto/v1740000000/common/f1/2025/astonmartin/2025astonmartinlogowhite.webp"
Alpine,BWT Alpine F1 Team,"Enstone, United Kingdom",Steve Nielsen,David Sanchez,A525,Renault,1986,2,1(x21),20,16,#008fd1,"https://media.formula1.com/image/upload/c_fit,h_64/q_auto/v1740000000/common/f1/2025/alpine/2025alpinelogowhite.webp"
Haas,MoneyGram Haas F1 Team,"Kannapolis, United States",Ayao Komatsu,Andrea De Zordo,VF-25,Ferrari,2016,0,4(x1),1,3,#777b7e,"https://media.formula1.com/image/upload/c_fit,h_64/q_auto/v1740000000/common/f1/2025/haas/2025haaslogowhite.webp"
Racing Bulls,Visa Cash App RB Formula One Team,"Faenza, Italy",Alan Permane,Tim Goss,VCARB 02,Honda RBPT,1985,0,1(x2),1,4,#4e75dc,"https://media.formula1.com/image/upload/c_fit,h_64/q_auto/v1740000000/common/f1/2025/racingbulls/2025racingbullslogowhite.webp"
Williams,Williams Racing,"Grove, United Kingdom",James Vowles,Pat Fry,FW47,Mercedes,1978,9,1(x114),128,133,#0f42b8,"https://media.formula1.com/image/upload/c_fit,h_64/q_auto/v1740000000/common/f1/2025/williams/2025williamslogowhite.webp"
Kick Sauber,Stake F1 Team Kick Sauber,"Hinwil, Switzerland",Jonathan Wheatley,James Key,C45,Ferrari,1993,0,1(x1),1,7,##03ac0d,"https://media.formula1.com/image/upload/c_fit,h_64/q_auto/v1740000000/common/f1/2025/kicksauber/2025kicksauberlogowhite.webp"
